		NCBI 								Transposon mutants									In vitro screening		In vivo screening		UniProt							Pubmed											String 		Pubmed	effectors.org			Phobius	RCSB PDB	Pubmed		ODB/DOOR/Pubmed
CT278	CTL0530	L2/434/BU	471472	nqrB	627516	629027	+	5858399															YP_001654607.1	503	O84261	Na(+)-translocating NADH-quinone reductase subunit B						3	25920978					Mid_Late	12730178												
CT279	CTL0531	L2/434/BU	471472	nqrC	629031	629981	+	5858579															YP_001654608.1	316	O84262	Na(+)-translocating NADH-quinone reductase subunit C						1	25920978					Constitutive	12730178												
CT280	CTL0532	L2/434/BU	471472	nqrD	629971	630612	+	5858774															YP_001654609.1	213	O84263	Na(+)-translocating NADH-quinone reductase subunit D						2	25920978					Constitutive	12730178												
CT281	CTL0533	L2/434/BU	471472	nqrE	630618	631352	+	5858458															YP_001654610.1	244	O84264	Na(+)-translocating NADH-quinone reductase subunit E						3	25920978					Constitutive	12730178												
CT282	CTL0534	L2/434/BU	471472	gcsH	631376	631729	-	5858483															YP_001654611.1	117	O84265	glycine cleavage system protein H						0	25920978					ND	12730178												
CT283	CTL0535	L2/434/BU	471472	-	631749	633821	-	5858032															YP_001654612.1	690	O84266	hypothetical protein CTL0535						10	25920978					Constitutive	12730178												
CT284	CTL0536	L2/434/BU	471472	-	634016	635440	-	5858255															YP_001654613.1	474	O84267	phospholipase D						3	25920978					Constitutive	12730178												
CT285	CTL0537	L2/434/BU	471472	lplA	635446	636165	-	5858339															YP_001654614.1	239	O84268	lipoate-protein ligase A						1	25920978					Constitutive	12730178												
CT286	CTL0538	L2/434/BU	471472	clpC	636430	638994	+	5858192															YP_001654615.1	854	O84269	ATP-dependent Clp protease						5	25920978					Late	12730178												
CT287	CTL0539	L2/434/BU	471472	mnmA	638975	640051	-	5858654															YP_001654616.1	358	O84270	tRNA-specific 2-thiouridylase MnmA						1	25920978					Constitutive	12730178												
CT288	CTL0540	L2/434/BU	471472	-	640283	641977	+	5858413															YP_001654617.1	564	O84271	hypothetical protein CTL0540						3	25920978					Late	12730178												
CT289	CTL0541	L2/434/BU	471472	-	642064	643209	-	5858253															YP_001654618.1	381	O84272	hypothetical protein CTL0541						3	25920978					Mid_Late	12730178												
CT290	CTL0542	L2/434/BU	471472	-	643267	643944	-	5858245															YP_001654619.1	225	O84273	PTS system transporter subunit IIA						1	25920978					Constitutive	12730178												
CT291	CTL0543	L2/434/BU	471472	ptsN_2	643947	644423	-	5858364															YP_001654620.1	158	O84274	PTS system transporter subunit IIA						1	25920978	subst	KH unpub			Constitutive	12730178												
CT292	CTL0544	L2/434/BU	471472	dut	644425	644862	-	5858750															YP_001654621.1	145	O84275	deoxyuridine 5\'-triphosphate nucleotidohydrolase						2	25920978					Constitutive	12730178												
CT293	CTL0545	L2/434/BU	471472	accD	644899	645825	-	5857955															YP_001654622.1	308	O84276	acetyl-CoA carboxylase subunit beta						2	25920978					Constitutive	12730178												
CT294	CTL0546	L2/434/BU	471472	sodM	645896	646516	-	5858610															YP_001654623.1	206	O84277	superoxide dismutase						0	25920978					Constitutive	12730178												
CT295	CTL0547	L2/434/BU	471472	mrsA	646648	648429	-	5858460															YP_001654624.1	593	O84278	phosphoglucomutase						1	25920978	subst	KH unpub			Constitutive	12730178												
CT296	CTL0548	L2/434/BU	471472	-	648581	649048	-	5858586															YP_001654625.1	155	O84279	hypothetical protein CTL0548						3	25920978					Constitutive	12730178												
CT297	CTL0549	L2/434/BU	471472	rnc	649157	649852	+	5858279															YP_001654626.1	231	O84280	ribonuclease III						0	25920978					Constitutive	12730178												
CT298	CTL0550	L2/434/BU	471472	radA	649836	651200	+	5858120															YP_001654627.1	454	O84281	DNA repair protein RadA						6	25920978					Constitutive	12730178												
CT299	CTL0551	L2/434/BU	471472	hemC	651244	651903	+	5858139															YP_001654628.1	219	O84282	porphobilinogen deaminase						1	25920978					Constitutive	12730178												
CT301	CTL0553	L2/434/BU	471472	pknD	652698	655502	-	5857923															YP_001654629.1	934	O84283	serine/threonine-protein kinase						2	25920978					ND	12730178												
CT302	CTL0554	L2/434/BU	471472	valS	655517	658336	-	5858711															YP_001654630.1	939	O84284	valyl-tRNA synthetase						6	25920978					Constitutive	12730178												
CT303	CTL0555	L2/434/BU	471472	-	658463	658978	-	5858805															YP_001654631.1	171	O84285	hypothetical protein CTL0555						2	25920978					Constitutive	12730178												
CT304	CTL0556	L2/434/BU	471472	atpK	658899	659324	-	5857935															YP_001654632.1	141	O84286	V-type ATP synthase subunit K						0	25920978					Constitutive	12730178												
CT305	CTL0557	L2/434/BU	471472	atpI	659386	661335	-	5858641															YP_001654633.1	649	O84287	V-type ATP synthase subunit I						5	25920978					Constitutive	12730178												
CT306	CTL0558	L2/434/BU	471472	atpD	661341	661952	-	5858484															YP_001654634.1	203	O84288	V-type ATP synthase subunit D						1	25920978					Constitutive	12730178												
CT307	CTL0559	L2/434/BU	471472	atpB	661937	663253	-	5858469															YP_001654635.1	438	O84289	V-type ATP synthase subunit B						3	25920978					Constitutive	12730178												
CT308	CTL0560	L2/434/BU	471472	atpA	663256	665031	-	5858487															YP_001654636.1	591	O84290	V-type ATP synthase subunit A						3	25920978					Constitutive	12730178												
CT309	CTL0561	L2/434/BU	471472	-	665025	665825	-	5858609															YP_001654637.1	266	O84291	hypothetical protein CTL0561						2	25920978					ND	12730178												
CT310	CTL0562	L2/434/BU	471472	atpE	665992	666618	-	5857920															YP_001654638.1	208	O84292	V-type ATP synthase subunit E						0	25920978					Constitutive	12730178												
CT311	CTL0563	L2/434/BU	471472	-	666727	667437	+	5858474															YP_001654639.1	236	O84293	hypothetical protein CTL0563						3	25920978					Constitutive	12730178												
CT312	CTL0564	L2/434/BU	471472	-	667445	667816	-	5858293															YP_001654640.1	123	O84294	hypothetical protein CTL0564						4	25920978					Constitutive	12730178												
CT313	CTL0565	L2/434/BU	471472	tal	667861	668844	-	5857936															YP_001654641.1	327	O84295	transaldolase B						6	25920978					Mid_Late	12730178												
CT314	CTL0566	L2/434/BU	471472	rpoC	668956	673146	-	5858218															YP_001654642.1	1396	O84296	DNA-directed RNA polymerase subunit beta\'						2	25920978					Constitutive	12730178												
CT315	CTL0567	L2/434/BU	471472	rpoB	673171	676929	-	5858141															YP_001654643.1	1252	O84297	DNA-directed RNA polymerase subunit beta						5	25920978	subst	KH unpub			Constitutive	12730178												
CT316	CTL0568	L2/434/BU	471472	rplL	677290	677682	-	5858736															YP_001654644.1	130	O84298	50S ribosomal protein L7/L12						0	25920978					Constitutive	12730178												
CT317	CTL0569	L2/434/BU	471472	rplJ	677714	678232	-	5858604															YP_001654645.1	172	O84299	50S ribosomal protein L10						1	25920978					Constitutive	12730178												
CT318	CTL0570	L2/434/BU	471472	rplA	678254	678952	-	5858670															YP_001654646.1	232	O84300	50S ribosomal protein L1						1	25920978					Constitutive	12730178												
CT319	CTL0571	L2/434/BU	471472	rplK	678975	679400	-	5858530															YP_001654647.1	141	O84301	50S ribosomal protein L11						0	25920978					Constitutive	12730178												
CT320	CTL0572	L2/434/BU	471472	nusG	679506	680054	-	5858741															YP_001654648.1	182	O84302	transcription antitermination protein NusG						2	25920978	subst	KH unpub			Constitutive	12730178												
CT321	CTL0573	L2/434/BU	471472	secE	680058	680306	-	5858101															YP_001654649.1	82	O84303	preprotein translocase subunit SecE						0	25920978					Constitutive	12730178												
CT322	CTL0574	L2/434/BU	471472	tufA	680449	681633	-	5858263															YP_001654650.1	394	O84304	elongation factor Tu						5	25920978					Constitutive	12730178												
CT323	CTL0575	L2/434/BU	471472	infA	681981	682202	-	5858264															YP_001654651.1	73	O84305	translation initiation factor IF-1						0	25920978					Constitutive	12730178												
CT324	CTL0576	L2/434/BU	471472	-	682615	683526	+	5858717															YP_001654652.1	303	O84306	hypothetical protein CTL0576						3	25920978					Constitutive	12730178												
CT325	CTL0577	L2/434/BU	471472	-	683523	683969	+	5858294															YP_001654653.1	148	O84307	hypothetical protein CTL0577						0	25920978					ND	12730178												
CT326.2	CTL0580	L2/434/BU	471472	-	686181	686363	-	5857915															YP_001654654.1	60	O84308	hypothetical protein CTL0580						1	25920978					ND	12730178												
CT327	CTL0581	L2/434/BU	471472	trpC	687086	687712	-	5858290															YP_001654655.1	208	O84309	N-(5\'-phosphoribosyl)anthranilate isomerase						0	25920978					Constitutive	12730178												
CT328	CTL0582	L2/434/BU	471472	tpiA	687908	688732	+	5858807															YP_001654656.1	274	O84310	triosephosphate isomerase						0	25920978					Mid_Late	12730178												
CT329	CTL0583	L2/434/BU	471472	xseA	688746	690296	+	5858359															YP_001654657.1	516	O84311	exodeoxyribonuclease VII large subunit						1	25920978					Constitutive	12730178												
CT330	CTL0584	L2/434/BU	471472	-	690505	690777	+	5858803															YP_001654659.1	90	O84312	hypothetical protein CTL0584						0	25920978					Constitutive	12730178												
CT331	CTL0585	L2/434/BU	471472	dxs	690774	692696	+	5858397															YP_001654660.1	640	O84313	1-deoxy-D-xylulose-5-phosphate synthase						2	25920978					Constitutive	12730178												
CT332	CTL0586	L2/434/BU	471472	pykF	692793	694250	+	5857956															YP_001654661.1	485	O84314	pyruvate kinase						2	25920978					Mid_Late	12730178												
CT333	CTL0587	L2/434/BU	471472	uvrA	694273	699633	+	5858569															YP_001654662.1	1786	O84315	excinuclease ABC subunit A						17	25920978					Constitutive	12730178												
CT334	CTL0588	L2/434/BU	471472	dnaX	699851	701251	+	5858828															YP_001654663.1	466	O84316	DNA polymerase III subunits gamma and tau						3	25920978					Mid_Late	12730178												
CT335	CTL0589	L2/434/BU	471472	-	701244	701534	+	5858113															YP_001654664.1	96	O84317	hypothetical protein CTL0589						0	25920978					ND	12730178												
CT336	CTL0590	L2/434/BU	471472	ptsI	701544	703259	-	5857919															YP_001654665.1	571	O84318	phosphoenolpyruvate-protein phosphotransferase						1	25920978					Constitutive	12730178												
CT337	CTL0591	L2/434/BU	471472	ptsH	703259	703588	-	5858721															YP_001654666.1	109	O84319	phosphocarrier protein HPr						1	25920978					Constitutive	12730178												
CT338	CTL0592	L2/434/BU	471472	-	703726	704187	-	5858679															YP_001654667.1	153	O84320	hypothetical protein CTL0592						0	25920978					ND	12730178												
CT339	CTL0593	L2/434/BU	471472	comEC	704471	706000	+	5858402															YP_001654669.1	509	O84321	hypothetical protein CTL0593						8	25920978					ND	12730178												
CT340	CTL0594	L2/434/BU	471472	-	706072	708108	-	5858223															YP_001654670.1	678	O84322	2-oxoisovalerate dehydrogenase subunit alpha						2	25920978					Constitutive	12730178												
CT341	CTL0595	L2/434/BU	471472	dnaJ	708143	709321	-	5858338															YP_001654671.1	392	O84323	chaperone protein DnaJ						6	25920978					Constitutive	12730178												
CT342	CTL0596	L2/434/BU	471472	rpsU	709350	709526	-	5858534															YP_001654672.1	58	O84324	30S ribosomal protein S21						0	25920978					Constitutive	12730178												
CT343	CTL0597	L2/434/BU	471472	-	709724	710356	-	5857978															YP_001654673.1	210	O84325	O-sialoglycoprotein endopeptidase						5	25920978					Constitutive	12730178												
CT344	CTL0598	L2/434/BU	471472	lon	710666	713125	+	5858232															YP_001654674.1	819	O84326	ATP-dependent protease La						2	25920978					Mid_Late	12730178												
CT345	CTL0599	L2/434/BU	471472	-	713227	713592	+	5858097															YP_001654675.1	121	O84327	hypothetical protein CTL0599						2	25920978					ND	12730178												
CT346	CTL0600	L2/434/BU	471472	-	713935	714849	+	5858302															YP_001654676.1	304	O84328	ribonuclease Z						0	25920978					Mid_Late	12730178												
CT347	CTL0601	L2/434/BU	471472	xerC	714911	715858	+	5858132															YP_001654677.1	315	O84329	site-specific tyrosine recombinase XerC						3	25920978					ND	12730178												
CT348	CTL0602	L2/434/BU	471472	-	715912	717501	+	5857939															YP_001654678.1	529	O84330	ABC transporter ATP-binding protein						2	25920978					Constitutive	12730178												
CT349	CTL0603	L2/434/BU	471472	-	717537	718127	+	5857929															YP_001654679.1	196	O84331	Maf-like protein						3	25920978					Constitutive	12730178												
CT350	CTL0604	L2/434/BU	471472	-	718109	719809	+	5858295															YP_001654680.1	566	O84332	lipoprotein						4	25920978					Constitutive	12730178												
CT351	CTL0605	L2/434/BU	471472	-	719816	721918	+	5858366															YP_001654681.1	700	O84333	hypothetical protein CTL0605						11	25920978					Constitutive	12730178												
CT351a	CTL0606	L2/434/BU	471472	secG	721992	722300	-	5858231															YP_001654682.1	102	O84334	preprotein translocase subunit SecG						3	25920978					Constitutive	12730178												
CT353	CTL0607	L2/434/BU	471472	def	722456	723001	-	5858262															YP_001654683.1	181	O84335	peptide deformylase						3	25920978					ND	12730178												
CT354	CTL0608	L2/434/BU	471472	ksgA	723276	724109	-	5858688															YP_001654684.1	277	O84336	dimethyladenosine transferase						1	25920978					Constitutive	12730178												
CT355	CTL0609	L2/434/BU	471472	-	724125	725186	-	5858094															YP_001654685.1	353	O84337	hypothetical protein CTL0609						6	25920978					Constitutive	12730178												
CT356	CTL0610	L2/434/BU	471472	-	725491	727605	-	5858408															YP_001654686.1	704	O84338	hypothetical protein CTL0610						7	25920978					Late	12730178												
CT357	CTL0611A	L2/434/BU	471472	-	728062	728394	+	5858273															YP_001654687.1	110	O84339	hypothetical protein CTL0611A						2	25920978					Constitutive	12730178												
CT359	CTL0613	L2/434/BU	471472	-	729014	729604	-	5858360															YP_001654688.1	196	O84340	inner membrane protein						1	25920978					Constitutive	12730178												
CT360	CTL0614	L2/434/BU	471472	-	729856	730482	-	5858261															YP_001654689.1	208	O84341	hypothetical protein CTL0614						2	25920978					Mid_Late	12730178												
CT361	CTL0615	L2/434/BU	471472	dapA	730644	731504	-	5858751															YP_001654690.1	286	O84342	dihydrodipicolinate synthase						2	25920978					Constitutive	12730178												
CT362	CTL0616	L2/434/BU	471472	lysC	731514	732809	-	5858118															YP_001654691.1	431	O84343	aspartate kinase						2	25920978					Constitutive	12730178												
CT363	CTL0617	L2/434/BU	471472	asd	732802	733806	-	5858738															YP_001654692.1	334	O84344	aspartate-semialdehyde dehydrogenase						3	25920978	subst	KH unpub			Constitutive	12730178												
CT364	CTL0618	L2/434/BU	471472	dapB	733816	734577	-	5858481															YP_001654693.1	253	O84345	dihydrodipicolinate reductase						2	25920978					Constitutive	12730178												
CT365	CTL0619	L2/434/BU	471472	-	734754	736481	-	5858074															YP_001654694.1	575	O84346	integral membrane protein						8	25920978					Late	12730178												
CT366	CTL0620	L2/434/BU	471472	aroA	736651	737973	+	5858438															YP_001654695.1	440	O84347	3-phosphoshikimate 1-carboxyvinyltransferase						7	25920978					ND	12730178												
CT367	CTL0621	L2/434/BU	471472	aroL	737915	738469	+	5858488															YP_001654696.1	184	O84348	shikimate kinase						0	25920978					Constitutive	12730178												
CT368	CTL0622	L2/434/BU	471472	aroC	738462	739535	+	5858480															YP_001654697.1	357	O84349	chorismate synthase						1	25920978	subst	KH unpub			ND	12730178												
CT369	CTL0623	L2/434/BU	471472	aroB	739532	740653	+	5858466															YP_001654698.1	373	O84350	3-dehydroquinate synthase						2	25920978					Late	12730178												
CT370	CTL0624	L2/434/BU	471472	aroDE	740634	742076	+	5858629															YP_001654699.1	480	O84351	bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase protein						3	25920978					Constitutive	12730178												
CT371	CTL0625	L2/434/BU	471472	-	742118	742903	+	5858666															YP_001654700.1	261	O84352	hypothetical protein CTL0625						3	25920978					ND	12730178												
CT372	CTL0626	L2/434/BU	471472	-	743044	744372	+	5858286															YP_001654701.1	442	O84353	hypothetical protein CTL0626						3	25920978					Mid_Late	12730178												
CT374	CTL0628	L2/434/BU	471472	aaxC?	745044	746495	+	5858403															YP_001654702.1	483	O84354	arginine/ornithine antiporter						4	25920978					Constitutive	12730178												
CT375	CTL0629	L2/434/BU	471472	-	746667	747725	+	5858352															YP_001654703.1	352	O84355	oxidoreductase						0	25920978					Late	12730178												
CT376	CTL0630	L2/434/BU	471472	mdhC	747767	748747	-	5858419															YP_001654704.1	326	O84356	malate dehydrogenase						0	25920978					Mid_Late	12730178												
CT377	CTL0631	L2/434/BU	471472	ltuA	748937	749077	-	5858450															YP_001654705.1	46	O84357	late transcription unit A protein						0	25920978					Mid_Late	12730178												
CT378	CTL0633	L2/434/BU	471472	pgi	749192	750769	-	5858722															YP_001654706.1	525	O84358	glucose-6-phosphate isomerase						5	25920978					Mid_Late	12730178												
CT379	CTL0634	L2/434/BU	471472	-	750882	752225	-	5858597															YP_001654707.1	447	O84359	nucleotide-binding protein						3	25920978					Constitutive	12730178												
CT380	CTL0635	L2/434/BU	471472	phnP	752238	753038	-	5858384															YP_001654708.1	266	O84360	metal-dependent hydrolase						3	25920978					Constitutive	12730178												
CT381	CTL0636	L2/434/BU	471472	artJ	753067	753840	-	5858448															YP_001654709.1	257	O84361	arginine transport substrate-binding protein						0	25920978					Constitutive	12730178												
CT382	CTL0637	L2/434/BU	471472	aroG	753909	754745	-	5858039															YP_001654710.1	278	O84362	3-deoxy-7-phosphoheptulonate synthase						3	25920978					Constitutive	12730178												
CT382.1	CTL0638	L2/434/BU	471472	-	754882	755073	-	5858028															YP_001654711.1	63	O84363	hypothetical protein CTL0638						0	25920978					ND	12730178												
CT383	CTL0639	L2/434/BU	471472	-	755256	755987	+	5858257															YP_001654712.1	243	O84364	hypothetical protein CTL0639						3	25920978					Constitutive	12730178												
CT384	CTL0640	L2/434/BU	471472	-	755998	757617	-	5858251															YP_001654713.1	539	O84365	hypothetical protein CTL0640						7	25920978					Constitutive	12730178												
CT386	CTL0642	L2/434/BU	471472	-	757964	758833	-	5858240															YP_001654715.1	289	O84366	hypothetical protein CTL0642						1	25920978					Mid_Late	12730178												
CT387	CTL0643	L2/434/BU	471472	-	759120	761195	+	5858228															YP_001654716.1	691	O84367	hypothetical protein CTL0643						10	25920978					Constitutive	12730178												
CT388	CTL0644	L2/434/BU	471472	-	761209	761556	-	5858370															YP_001654717.1	115	O84368	hypothetical protein CTL0644						2	25920978					ND	12730178												
CT389	CTL0645	L2/434/BU	471472	-	761738	762964	+	5858234															YP_001654718.1	408	O84369	hypothetical protein CTL0645						3	25920978					Constitutive	12730178												
CT390	CTL0646	L2/434/BU	471472	dapL	763072	764256	+	5858236															YP_001654719.1	394	O84370	L,L-diaminopimelate aminotransferase						2	25920978					Constitutive	12730178												
CT391	CTL0647	L2/434/BU	471472	-	764264	765271	+	5858682															YP_001654720.1	335	O84371	ABC transporter substrate-binding protein						4	25920978					Constitutive	12730178												
CT392	CTL0648	L2/434/BU	471472	-	765280	766410	-	5858283															YP_001654721.1	376	O84372	hypothetical protein CTL0648						9	25920978	subst	KH unpub			Late	12730178												
CT393	CTL0649	L2/434/BU	471472	proS	766611	768356	+	5858382															YP_001654722.1	581	O84373	prolyl-tRNA synthetase						7	25920978					Constitutive	12730178												
CT394	CTL0650	L2/434/BU	471472	hrcA	768425	769603	+	5858140															YP_001654723.1	392	O84374	heat-inducible transcription repressor						4	25920978					Late	12730178												
CT395	CTL0651	L2/434/BU	471472	grpE	769600	770172	+	5858410															YP_001654724.1	190	O84375	HSP-70 cofactor						1	25920978					Late	12730178												
CT396	CTL0652	L2/434/BU	471472	dnaK	770198	772180	+	5858788															YP_001654725.1	660	O84376	molecular chaperone DnaK						2	25920978					Late	12730178												
CT397	CTL0654	L2/434/BU	471472	vacB	772473	774557	+	5858673															YP_001654726.1	694	O84377	exoribonuclease II						5	25920978					Constitutive	12730178												
CT398	CTL0655	L2/434/BU	471472	-	774813	775577	+	5858827															YP_001654727.1	254	O84378	hypothetical protein CTL0655						4	25920978					Constitutive	12730178												
CT399	CTL0656	L2/434/BU	471472	-	776000	776986	-	5858392															YP_001654728.1	328	O84379	carbohydrate isomerase						0	25920978					Constitutive	12730178												
CT400	CTL0657	L2/434/BU	471472	sucB	777018	778184	-	5857914															YP_001654729.1	388	O84380	branched-chain alpha-keto acid dehydrogenase subunit E2						2	25920978					ND	12730178												
CT401	CTL0658	L2/434/BU	471472	gltT	778430	779668	-	5858315															YP_001654730.1	412	O84381	Sodium:dicarboxylate symport protein						8	25920978					Constitutive	12730178												
CT402	CTL0659	L2/434/BU	471472	lpxK	779665	780774	-	5858201															YP_001654731.1	369	O84382	tetraacyldisaccharide 4\'-kinase						0	25920978					Constitutive	12730178												
CT403	CTL0660	L2/434/BU	471472	-	780940	781749	-	5858244															YP_001654732.1	269	O84383	23S rRNA methyltransferase						3	25920978					Constitutive	12730178												
CT404	CTL0661	L2/434/BU	471472	-	781737	782564	-	5858287															YP_001654733.1	275	O84384	N6-adenine-specific DNA methylase						1	25920978					Constitutive	12730178												
CT405	CTL0662	L2/434/BU	471472	ribC	782561	783160	-	5857934															YP_001654734.1	199	O84385	riboflavin synthase subunit alpha						1	25920978					Constitutive	12730178												
CT406	CTL0663	L2/434/BU	471472	nrdR	783553	784017	+	5858672															YP_001654735.1	154	O84386	transcriptional regulator NrdR						0	25920978					Constitutive	12730178												
CT407	CTL0664	L2/434/BU	471472	dksA	784031	784405	+	5858340															YP_001654736.1	124	O84387	dnaK suppressor protein						0	25920978					Constitutive	12730178												
CT408	CTL0665	L2/434/BU	471472	lspA	784411	784914	+	5858209															YP_001654737.1	167	O84388	lipoprotein signal peptidase						4	25920978					Mid_Late	12730178												
CT409	CTL0666	L2/434/BU	471472	-	785016	786377	+	5858699															YP_001654738.1	453	O84389	Sodium/alanine symporter protein						1	25920978					Constitutive	12730178												
CT410	CTL0667	L2/434/BU	471472	pcnB	786593	787870	+	5858266															YP_001654739.1	425	O84390	poly A polymerase						0	25920978					Constitutive	12730178												
CT411	CTL0668	L2/434/BU	471472	lpxB	787931	789754	+	5858639															YP_001654740.1	607	O84391	lipid-A-disaccharide synthase						3	25920978					Constitutive	12730178												
CT412	CTL0669	L2/434/BU	471472	pmpA	789861	792788	+	5858107															YP_001654741.1	975	O84392	polymorphic outer membrane protein						16	25920978					Constitutive	12730178												
CT413	CTL0670	L2/434/BU	471472	pmpB	792927	798176	+	5858502															YP_001654742.1	1749	O84393	polymorphic outer membrane protein						28	25920978					Mid_Late	12730178												
CT414	CTL0671	L2/434/BU	471472	pmpC	798351	803675	+	5858099															YP_001654743.1	1774	O84394	polymorphic outer membrane protein						29	25920978					Mid_Late	12730178												
CT415	CTL0672	L2/434/BU	471472	-	804228	805058	+	5858272															YP_001654744.1	276	O84395	metal ABC transporter substrate-binding protein						3	25920978					Constitutive	12730178												
CT416	CTL0673	L2/434/BU	471472	-	805055	805765	+	5858376															YP_001654745.1	236	O84396	metal ABC transporter ATP-binding protein						1	25920978					Constitutive	12730178												
CT417	CTL0674	L2/434/BU	471472	-	805756	806637	+	5858239															YP_001654746.1	293	O84397	metal ABC transporter membrane permease						2	25920978					Constitutive	12730178												
CT418	CTL0675	L2/434/BU	471472	obgE	806553	807560	-	5857930															YP_001654747.1	335	O84398	GTPase ObgE						2	25920978					Constitutive	12730178												
CT419	CTL0676	L2/434/BU	471472	rpmA	807650	807901	-	5858329															YP_001654748.1	83	O84399	50S ribosomal protein L27						1	25920978					Constitutive	12730178												
CT420	CTL0677	L2/434/BU	471472	rplU	807932	808255	-	5858312															YP_001654749.1	107	O84400	50S ribosomal protein L21						1	25920978					Constitutive	12730178												
CT421	CTL0678	L2/434/BU	471472	-	808805	809506	+	5858284															YP_001654750.1	233	O84401	inner membrane protein						0	25920978					Constitutive	12730178												
CT421.1	CTL0679	L2/434/BU	471472	-	809691	809852	+	5858385															YP_001654751.1	53	O84402	hypothetical protein CTL0679						1	25920978					ND	12730178												
CT421.2	CTL0680	L2/434/BU	471472	-	809869	810030	+	5858242															YP_001654752.1	53	O84403	hypothetical protein CTL0680						1	25920978					ND	12730178												
CT422	CTL0681	L2/434/BU	471472	-	810043	810528	+	5858411															YP_001654753.1	161	O84404	hypothetical protein CTL0681						2	25920978					Constitutive	12730178												
CT423	CTL0682	L2/434/BU	471472	-	810661	811770	+	5857922															YP_001654754.1	369	O84405	cation efflux protein						5	25920978					Constitutive	12730178												
CT424	CTL0683	L2/434/BU	471472	rsbV	811959	812309	+	5858395															YP_001654755.1	116	O84406	anti-sigma F factor antagonist						0	25920978					Constitutive	12730178												
CT425	CTL0684	L2/434/BU	471472	-	812487	814352	+	5858733															YP_001654756.1	621	O84407	hypothetical protein CTL0684						10	25920978					Constitutive	12730178												
CT426	CTL0685	L2/434/BU	471472	-	814549	815658	+	5858386															YP_001654757.1	369	O84408	hypothetical protein CTL0685						1	25920978					Constitutive	12730178												
CT427	CTL0686	L2/434/BU	471472	-	815631	816452	+	5858368															YP_001654758.1	273	O84409	hypothetical protein CTL0686						0	25920978					Constitutive	12730178												
CT428	CTL0687	L2/434/BU	471472	ubiE	816388	817077	+	5858221															YP_001654759.1	229	O84410	ubiquinone/menaquinone biosynthesis methyltransferase						1	25920978					Constitutive	12730178												
CT429	CTL0688	L2/434/BU	471472	-	817103	818092	-	5858831															YP_001654760.1	329	O84411	hypothetical protein CTL0688						2	25920978					Constitutive	12730178												
CT430	CTL0689	L2/434/BU	471472	dapF	818153	818980	-	5858387															YP_001654761.1	275	O84412	diaminopimelate epimerase						0	25920978	subst	KH unpub			Mid_Late	12730178												
CT431	CTL0690	L2/434/BU	471472	clpP	818949	819527	-	5858690															YP_001654762.1	192	O84413	ATP-dependent Clp protease proteolytic subunit						0	25920978	subst	KH unpub			Mid_Late	12730178												
CT432	CTL0691	L2/434/BU	471472	glyA	819539	821032	-	5858124															YP_001654763.1	497	O84414	serine hydroxymethyltransferase						2	25920978					Mid_Late	12730178												
CT433	CTL0692	L2/434/BU	471472	hemD	821396	822067	+	5858617															YP_001654764.1	223	O84415	uroporphyrinogen-III synthase						0	25920978					Constitutive	12730178												
CT434	CTL0693	L2/434/BU	471472	ispF	822170	822706	+	5858357															YP_001654765.1	178	O84416	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase						0	25920978					Constitutive	12730178												
CT435	CTL0694	L2/434/BU	471472	-	822703	823755	-	5858356															YP_001654766.1	350	O84417	oxidoreductase						2	25920978					Constitutive	12730178												
CT436	CTL0695	L2/434/BU	471472	rpsJ	823772	824089	-	5858248															YP_001654767.1	105	O84418	30S ribosomal protein S10						0	25920978					Constitutive	12730178												
CT437	CTL0696	L2/434/BU	471472	fusA	824097	826181	-	5858519															YP_001654768.1	694	O84419	elongation factor G						5	25920978					Constitutive	12730178												
CT438	CTL0697	L2/434/BU	471472	rpsG	826223	826696	-	5858037															YP_001654769.1	157	O84420	30S ribosomal protein S7						1	25920978					Constitutive	12730178												
CT439	CTL0698	L2/434/BU	471472	rpsL	826746	827117	-	5858160															YP_001654770.2	123	O84421	30S ribosomal protein S12						2	25920978					Constitutive	12730178												
CT440	CTL0699	L2/434/BU	471472	-	827377	827715	+	5857998															YP_001654771.1	112	O84422	hypothetical protein CTL0699						1	25920978					Constitutive	12730178												
CT441	CTL0700	L2/434/BU	471472	tsp	827873	829822	+	5858256															YP_001654772.1	649	O84423	carboxy-terminal processing protease						0	25920978					Late	12730178												
CT442	CTL0701	L2/434/BU	471472	crpA	829929	830381	-	5858812															YP_001654773.1	150	O84424	hypothetical protein CTL0701						2	25920978					Late	12730178												
CT443	CTL0702	L2/434/BU	471472	omcB	830559	832220	-	5858203															YP_001654774.1	553	O84425	60kD cysteine-rich outer membrane protein						9	25920978					Late	12730178												
CT444.1	CTL0704	L2/434/BU	471472	-	832970	833194	+	5858155															YP_001654776.1	74	O84426	lipoprotein						2	25920978					ND	12730178												
CT445	CTL0705	L2/434/BU	471472	gltX	833191	834711	-	5858291															YP_001654777.1	506	O84427	glutamyl-tRNA synthetase						4	25920978					Constitutive	12730178												
CT446	CTL0706	L2/434/BU	471472	euo	834982	835533	-	5858744															YP_001654778.1	183	O84428	hypothetical protein CTL0706						4	25920978					Constitutive	12730178												
