Entry	Gene names  (ordered locus )	Gene names  (primary )	Protein names	Organism	Cross-reference (RefSeq)	Cross-reference (EMBL)	EnsemblBacteria transcript
Q1DFW9	MXAN_0171		Cation-binding protein, hemerythrin HHE family	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF89881;
Q1CX09	MXAN_6949		Putative chemotaxis protein CheW	Myxococcus xanthus (strain DK 1622)	WP_011556870.1;	CP000113;	ABF87567;
Q1D9T1	MXAN_2372	pfkB	Phosphofructokinase	Myxococcus xanthus (strain DK 1622)	WP_011552447.1;	CP000113;	ABF92761;
Q1DA30	MXAN_2272		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF89019;
Q1D9E5	MXAN_2509		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011552580.1;	CP000113;	ABF91017;
Q1DFF3	MXAN_0346	tolB	Tol-pal system beta propeller repeat protein TolB	Myxococcus xanthus (strain DK 1622)	WP_011550484.1;	CP000113;	ABF92118;
Q1CZQ2	MXAN_5986		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF90335;
Q1CVL3	MXAN_7455		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011557363.1;	CP000113;	ABF92841;
Q1CW67	MXAN_7243		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011557162.1;	CP000113;	ABF92436;
Q1D697	MXAN_3639		Iron-chelator utilization protein	Myxococcus xanthus (strain DK 1622)	WP_011553657.1;	CP000113;	ABF89135;
Q1D550	MXAN_4044		Cytidine and deoxycytidylate deaminase zinc-binding domain protein	Myxococcus xanthus (strain DK 1622)	WP_011554052.1;	CP000113;	ABF88313;
Q1DD79	MXAN_1134		Adenylate/guanylate cyclase domain protein	Myxococcus xanthus (strain DK 1622)	WP_011551254.1;	CP000113;	ABF85978;
Q1DDS3	MXAN_0939		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011551060.1;	CP000113;	ABF91536;
Q1DFL8	MXAN_0274		Biopolymer transport protein, ExbD/TolR family	Myxococcus xanthus (strain DK 1622)	WP_011550419.1;	CP000113;	ABF87962;
Q1D8X4	MXAN_2682	cheR	Chemotaxis protein methyltransferase CheR	Myxococcus xanthus (strain DK 1622)	WP_011552750.1;	CP000113;	ABF89636;
Q1DDD6	MXAN_1077		Sensory box histidine kinase	Myxococcus xanthus (strain DK 1622)	WP_011551197.1;	CP000113;	ABF92537;
Q1D3S6	MXAN_4529		Polyketide synthase type I	Myxococcus xanthus (strain DK 1622)	WP_011554524.1;	CP000113;	ABF90495;
Q1D113	MXAN_5517		Putative serine/threonine protein kinase	Myxococcus xanthus (strain DK 1622)	WP_011555475.1;	CP000113;	ABF88075;
Q1D530	MXAN_4065		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011554072.1;	CP000113;	ABF91485;
Q1D2W9	MXAN_4843		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF89123;
Q1D6L3	MXAN_3516		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87413;
Q1D6M6	MXAN_3503		Cupin domain protein	Myxococcus xanthus (strain DK 1622)	WP_011553533.1;	CP000113;	ABF91470;
Q1CWA4	MXAN_7206		Sensor histidine kinase/response regulator	Myxococcus xanthus (strain DK 1622)	WP_011557125.1;	CP000113;	ABF86135;
Q1DCM1	MXAN_1345		Sigma-54 dependent transcriptional regulator, Fis family	Myxococcus xanthus (strain DK 1622)	WP_011551462.1;	CP000113;	ABF87263;
Q1D895	MXAN_2917		Putative membrane protein	Myxococcus xanthus (strain DK 1622)	WP_011552977.1;	CP000113;	ABF90731;
Q1DCB7	MXAN_1449		Protein TonB	Myxococcus xanthus (strain DK 1622)	WP_011551565.1;	CP000113;	ABF91848;
Q1D5B8	MXAN_3975		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF89230;
Q1D5X7	MXAN_3764		Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	Myxococcus xanthus (strain DK 1622)	WP_011553777.1;	CP000113;	ABF89549;
Q1D7B8	MXAN_3256	ccmC	Heme exporter protein CcmC	Myxococcus xanthus (strain DK 1622)	WP_011553301.1;	CP000113;	ABF86608;
Q1D8H4	MXAN_2838		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF90388;
Q1D9L3	MXAN_2440		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011552515.1;	CP000113;	ABF92934;
Q1CX99	MXAN_6857		Putative membrane protein	Myxococcus xanthus (strain DK 1622)	WP_011556782.1;	CP000113;	ABF86438;
Q1D4K6	MXAN_4242		Putative transcriptional regulator	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF88864;
Q1DAT5	MXAN_2003		N-acetylmuramoyl-L-alanine amidase, family 3	Myxococcus xanthus (strain DK 1622)	WP_011552093.1;	CP000113;	ABF87117;
Q1D2H1	MXAN_4996		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF89963;
Q1DC42	MXAN_1529		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011551640.1;	CP000113;	ABF93100;
Q1D469	MXAN_4381		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF88646;
Q1D788	MXAN_3286		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011553331.1;	CP000113;	ABF86835;
Q1DBY2	MXAN_1589		Putative para-aminobenzoate synthase, glutamine amidotransferase component	Myxococcus xanthus (strain DK 1622)	WP_011551700.1;	CP000113;	ABF89768;
Q1D5S4	MXAN_3817		Sodium bile acid symporter family protein	Myxococcus xanthus (strain DK 1622)	WP_011553829.1;	CP000113;	ABF91395;
Q1D990	MXAN_2564	moaDE	Molybdopterin synthase sulfur carrier subunit	Myxococcus xanthus (strain DK 1622)	WP_011552634.1;	CP000113;	ABF86667;
Q1DBL5	MXAN_1707		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011551817.1;	CP000113;	ABF89526;
Q1DCH9	MXAN_1387		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011551504.1;	CP000113;	ABF88798;
Q1CWG5	MXAN_7145		ABC transporter, ATP-binding protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF89917;
Q1CZ98	MXAN_6144		Putative oxygen-dependent FAD-linked oxidoreductase	Myxococcus xanthus (strain DK 1622)	WP_011556088.1;	CP000113;	ABF90321;
Q1D743	MXAN_3331		Deoxynucleoside kinase family protein	Myxococcus xanthus (strain DK 1622)	WP_011553366.1;	CP000113;	ABF92506;
Q1DB18	MXAN_1911		Beta-lactamase	Myxococcus xanthus (strain DK 1622)	WP_011552011.1;	CP000113;	ABF86202;
Q1DBH3	MXAN_1750		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87290;
Q1DCV7	MXAN_1259	bioD	ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)	Myxococcus xanthus (strain DK 1622)	WP_011551376.1;	CP000113;	ABF88914;
Q1DDD8	MXAN_1075		Phosphoribosyl transferase domain protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF90860;
Q1CZ15	MXAN_6227		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87692;
Q1CWI2	MXAN_7128		Putative membrane protein	Myxococcus xanthus (strain DK 1622)	WP_011557047.1;	CP000113;	ABF88805;
Q1CWX0	MXAN_6989		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011556909.1;	CP000113;	ABF92716;
Q1CZF6	MXAN_6082		Cytochrome c family protein	Myxococcus xanthus (strain DK 1622)	WP_011556031.1;	CP000113;	ABF89677;
Q1D610	MXAN_3728		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011553744.1;	CP000113;	ABF90002;
Q1D7X7	MXAN_3037		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011553093.1;	CP000113;	ABF88580;
Q1DB69	MXAN_1858		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011551960.1;	CP000113;	ABF91347;
Q1DDI5	MXAN_1027		Glycosyl transferase, group 1 family protein	Myxococcus xanthus (strain DK 1622)	WP_011551148.1;	CP000113;	ABF89766;
Q1DEG4	MXAN_0691		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF91538;
Q1DF93	MXAN_0409		Cupin domain protein	Myxococcus xanthus (strain DK 1622)	WP_011550543.1;	CP000113;	ABF92306;
Q1DAT7	MXAN_2001		FHA domain protein	Myxococcus xanthus (strain DK 1622)	WP_011552091.1;	CP000113;	ABF90963;
Q1CYD4	MXAN_6467		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011556397.1;	CP000113;	ABF92464;
Q1D4T5	MXAN_4163		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF90092;
Q1DA42	MXAN_2260		Potassium efflux system family protein	Myxococcus xanthus (strain DK 1622)	WP_011552336.1;	CP000113;	ABF92808;
Q1DA15	MXAN_2287	thiD	Phosphomethylpyrimidine kinase (EC 2.7.4.7)	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF92912;
Q1DE15	MXAN_0846		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF88735;
Q1DE65	MXAN_0795		Conserved domain protein	Myxococcus xanthus (strain DK 1622)	WP_011550918.1;	CP000113;	ABF92719;
Q1D2R5	MXAN_4901	smc	Chromosome partition protein Smc	Myxococcus xanthus (strain DK 1622)	WP_011554882.1;	CP000113;	ABF86378;
Q1D391	MXAN_4720		UPF0056 inner membrane protein	Myxococcus xanthus (strain DK 1622)	WP_011554707.1;	CP000113;	ABF86262;
Q1D0E4	MXAN_5742		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011555693.1;	CP000113;	ABF90112;
Q1D882	MXAN_2930		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011552990.1;	CP000113;	ABF87727;
Q1D8N0	MXAN_2776		Tetratricopeptide repeat protein	Myxococcus xanthus (strain DK 1622)	WP_011552843.1;	CP000113;	ABF88654;
Q1DBN7	MXAN_1684		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011551795.1;	CP000113;	ABF91204;
Q1DDG7	MXAN_1045		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87464;
Q1DGD0	MXAN_0009		Transporter, major facilitator family	Myxococcus xanthus (strain DK 1622)	WP_011550159.1;	CP000113;	ABF86434;
Q1CYH1	MXAN_6428		Serine/threonine kinase family protein (EC 2.7.1.-)	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF89193;
Q1CWD4	MXAN_7176		Type II secretion system protein, GspE family	Myxococcus xanthus (strain DK 1622)	WP_011557095.1;	CP000113;	ABF89058;
Q1D337	MXAN_4774		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011554761.1;	CP000113;	ABF88346;
Q1D3E2	MXAN_4665		Oligopeptide/dipeptide ABC transporter, ATP-binding protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF86839;
Q1DG24	MXAN_0116		Sigma-54 dependent transcriptional regulator, Fis family	Myxococcus xanthus (strain DK 1622)	WP_011550263.1;	CP000113;	ABF87993;
Q1DDW4	MXAN_0898		Neurosporene hydroxylase	Myxococcus xanthus (strain DK 1622)	WP_011551019.1;	CP000113;	ABF86935;
Q1DDY7	MXAN_0875		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011550996.1;	CP000113;	ABF86964;
Q1D322	MXAN_4789	pstC	Phosphate transport system permease protein	Myxococcus xanthus (strain DK 1622)	WP_011554776.1;	CP000113;	ABF89494;
Q1D0M9	MXAN_5656		Response regulator	Myxococcus xanthus (strain DK 1622)	WP_011555609.1;	CP000113;	ABF87562;
Q1D0U4	MXAN_5590		Peptidase, S54 (Rhomboid) family (EC 3.4.21.-)	Myxococcus xanthus (strain DK 1622)	WP_011555544.1;	CP000113;	ABF91884;
Q1D1R7	MXAN_5254		Proto-oncogene c-fos N-terminal domain protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF88005;
Q1D1V4	MXAN_5217		Peroxidase family protein	Myxococcus xanthus (strain DK 1622)	WP_011555184.1;	CP000113;	ABF88938;
Q1D5H0	MXAN_3923		RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family, permease protein	Myxococcus xanthus (strain DK 1622)	WP_011553933.1;	CP000113;	ABF87457;
Q1D8I3	MXAN_2829		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF89874;
Q1DDL9	MXAN_0993		Sensory box histidine kinase/response regulator	Myxococcus xanthus (strain DK 1622)	WP_011551114.1;	CP000113;	ABF86976;
Q1CYM1	MXAN_6377		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011556310.1;	CP000113;	ABF86096;
Q1D4D1	MXAN_4317		YeeE/YedE family protein	Myxococcus xanthus (strain DK 1622)	WP_011554320.1;	CP000113;	ABF91567;
Q1D9N1	MXAN_2422		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011552497.1;	CP000113;	ABF91149;
Q1CXH4	MXAN_6782		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF86384;
Q1D4N6	MXAN_4212	moeA	Molybdopterin biosynthesis MoeA protein	Myxococcus xanthus (strain DK 1622)	WP_011554215.1;	CP000113;	ABF87981;
Q1D542	MXAN_4053		Sensor histidine kinase	Myxococcus xanthus (strain DK 1622)	WP_011554060.1;	CP000113;	ABF90932;
Q1DDZ6	MXAN_0866		Dps family protein	Myxococcus xanthus (strain DK 1622)	WP_011550987.1;	CP000113;	ABF87059;
Q1CVL6	MXAN_7452		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011557360.1;	CP000113;	ABF87170;
Q1CVP7	MXAN_7420		Response regulator	Myxococcus xanthus (strain DK 1622)	WP_011557331.1;	CP000113;	ABF89588;
Q1CYH6	MXAN_6423		Putative membrane protein	Myxococcus xanthus (strain DK 1622)	WP_011556355.1;	CP000113;	ABF90773;
Q1D6R5	MXAN_3461		Oxidoreductase, short chain dehydrogenase/reductase family	Myxococcus xanthus (strain DK 1622)	WP_011553494.1;	CP000113;	ABF86102;
Q1CYA8	MXAN_7515		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011556423.1;	CP000113;	ABF90870;
Q1D4W2	MXAN_4136	phrB	Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	Myxococcus xanthus (strain DK 1622)	WP_011554139.1;	CP000113;	ABF88960;
Q1CZQ7	MXAN_5981		Putative ribonuclease D	Myxococcus xanthus (strain DK 1622)	WP_011555930.1;	CP000113;	ABF89876;
Q1D0A1	MXAN_5785	pilS	Pilin regulatory protein PilS	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF88449;
Q1D0B9	MXAN_5767	accC	Acetyl-CoA carboxylase, biotin carboxylase (EC 6.4.1.2)	Myxococcus xanthus (strain DK 1622)	WP_011555718.1;	CP000113;	ABF86511;
Q1D4H8	MXAN_4270		Cation-transporting ATPase, E1-E2 family	Myxococcus xanthus (strain DK 1622)	WP_011554273.1;	CP000113;	ABF92362;
Q1CXQ7	MXAN_6699		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011556624.1;	CP000113;	ABF87793;
Q1CYJ1	MXAN_6408		IPT/TIG domain/phospholipase D family protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87279;
Q1D8E5	MXAN_2867		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011552928.1;	CP000113;	ABF88359;
Q1CX16	MXAN_6942		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF90233;
Q1D716	MXAN_3360		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011553393.1;	CP000113;	ABF86613;
Q1D249	MXAN_5120	tipA	Transcriptional activator TipA	Myxococcus xanthus (strain DK 1622)	WP_011555094.1;	CP000113;	ABF92088;
Q1D811	MXAN_3003		MotA/TolQ/ExbB proton channel family protein	Myxococcus xanthus (strain DK 1622)	WP_011553059.1;	CP000113;	ABF87376;
Q1D8X6	MXAN_2680		Serine/threonine protein kinase	Myxococcus xanthus (strain DK 1622)	WP_011552748.1;	CP000113;	ABF91549;
Q1DCD3	MXAN_1433		M23 peptidase domain protein (EC 3.4.24.-)	Myxococcus xanthus (strain DK 1622)	WP_011551550.1;	CP000113;	ABF86920;
Q1DCM4	MXAN_1342		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011551459.1;	CP000113;	ABF91399;
Q1DDC3	MXAN_1090		General secretory system II protein E, N-terminal domain protein	Myxococcus xanthus (strain DK 1622)	WP_011551210.1;	CP000113;	ABF89262;
Q1D2B2	MXAN_5056		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011555032.1;	CP000113;	ABF91135;
Q1D2R8	MXAN_4898		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011554879.1;	CP000113;	ABF85975;
Q1D5A2	MXAN_3991		Putative recA protein	Myxococcus xanthus (strain DK 1622)	WP_011554001.1;	CP000113;	ABF92318;
Q1D711	MXAN_3365		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011553398.1;	CP000113;	ABF88901;
Q1DD67	MXAN_1146		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011551266.1;	CP000113;	ABF87449;
Q1DC93	MXAN_1473	lolA	Outer-membrane lipoprotein carrier protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF91806;
Q1DE81	MXAN_0776		von Willebrand factor type A domain protein	Myxococcus xanthus (strain DK 1622)	WP_011550902.1;	CP000113;	ABF88002;
Q1D7A4	MXAN_3270		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011553315.1;	CP000113;	ABF89873;
Q1D512	MXAN_4083		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87947;
Q1CYC3	MXAN_6478		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011556408.1;	CP000113;	ABF87538;
Q1CWG8	MXAN_7142		Putative sensory box histidine kinase	Myxococcus xanthus (strain DK 1622)	WP_011557061.1;	CP000113;	ABF88055;
Q1CZ55	MXAN_6187		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011556131.1;	CP000113;	ABF93138;
Q1CZ62	MXAN_6180		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011556124.1;	CP000113;	ABF91575;
Q1CVQ9	MXAN_7408		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011557319.1;	CP000113;	ABF90387;
Q1D4L1	MXAN_4237		Sodium:sulfate symporter	Myxococcus xanthus (strain DK 1622)	WP_011554240.1;	CP000113;	ABF91466;
Q1CZD7	MXAN_6101		Putative helicase, ATP-dependent	Myxococcus xanthus (strain DK 1622)	WP_011556050.1;	CP000113;	ABF86717;
Q1D7D2	MXAN_3242		Conserved domain protein	Myxococcus xanthus (strain DK 1622)	WP_011553287.1;	CP000113;	ABF87905;
Q1DD85	MXAN_1128	frgC	Sigma-54 dependent DNA-binding response regulator FrgC	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87334;
Q1CYE6	MXAN_6454		Putative arginine N-succinyltransferase	Myxococcus xanthus (strain DK 1622)	WP_011556385.1;	CP000113;	ABF88144;
Q1DGD4	MXAN_0003		CBS domain protein	Myxococcus xanthus (strain DK 1622)	WP_011550155.1;	CP000113;	ABF86638;
Q1D7L6	MXAN_3154	menB	1,4-dihydroxy-2-naphthoyl-CoA synthase (DHNA-CoA synthase) (EC 4.1.3.36)	Myxococcus xanthus (strain DK 1622)	WP_002640507.1;	CP000113;	ABF92395;
Q1DD48	MXAN_1165		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87896;
Q1DEA5	MXAN_0752		WD domain G-beta repeat protein	Myxococcus xanthus (strain DK 1622)	WP_011550878.1;	CP000113;	ABF91880;
Q1DDA3	MXAN_1110		Biotin/lipoic acid binding domain protein	Myxococcus xanthus (strain DK 1622)	WP_011551230.1;	CP000113;	ABF90530;
Q1DEW1	MXAN_0543		Peptidase, M20 (Glutamate carboxypeptidase) family (EC 3.4.-.-)	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF91458;
Q1D0H9	MXAN_5706	cdd	Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase)	Myxococcus xanthus (strain DK 1622)	WP_011555658.1;	CP000113;	ABF87853;
Q1D6I8	MXAN_3542	sucD	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	Myxococcus xanthus (strain DK 1622)	WP_011553571.1;	CP000113;	ABF91257;
Q1D871	MXAN_2943		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF86417;
Q1D8F4	MXAN_2858		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF92002;
Q1CYU5	MXAN_6303	bglA	Beta-glucosidase A (EC 3.2.1.21)	Myxococcus xanthus (strain DK 1622)	WP_011556236.1;	CP000113;	ABF90507;
Q1DFT9	MXAN_0202		Amine oxidase, flavin-containing	Myxococcus xanthus (strain DK 1622)	WP_011550348.1;	CP000113;	ABF86334;
Q1DFU1	MXAN_0200		Putative membrane protein	Myxococcus xanthus (strain DK 1622)	WP_011550346.1;	CP000113;	ABF88094;
Q1CZN5	MXAN_6003		ABC transporter, ATP-binding protein	Myxococcus xanthus (strain DK 1622)	WP_011555952.1;	CP000113;	ABF91295;
Q1DB12	MXAN_1917		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011552017.1;	CP000113;	ABF87126;
Q1CVG7	MXAN_7503		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF86004;
Q1CWQ4	MXAN_7056		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011556975.1;	CP000113;	ABF88264;
Q1D9I8	MXAN_2465		Tetratricopeptide repeat protein	Myxococcus xanthus (strain DK 1622)	WP_011552537.1;	CP000113;	ABF86676;
Q1DAS5	MXAN_2019		Putative oligopeptide ABC transporter, permease protein	Myxococcus xanthus (strain DK 1622)	WP_011552103.1;	CP000113;	ABF87270;
Q1DG01	MXAN_0139		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011550286.1;	CP000113;	ABF90905;
Q1D0Y4	MXAN_5550		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87928;
Q1D4B5	MXAN_4334		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011554336.1;	CP000113;	ABF88181;
Q1CVR5	MXAN_7401	vegA	Vegetative protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF90235;
Q1CWR6	MXAN_7044		BNR/Asp-box repeat domain protein	Myxococcus xanthus (strain DK 1622)	WP_011556963.1;	CP000113;	ABF92360;
Q1D2U1	MXAN_4875		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011554857.1;	CP000113;	ABF91273;
Q1D2Z9	MXAN_4813	clpB	ATP-dependent chaperone protein ClpB	Myxococcus xanthus (strain DK 1622)	WP_011554799.1;	CP000113;	ABF87140;
Q1DDZ3	MXAN_0869		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF91064;
Q1D2N3	MXAN_4934		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF91030;
Q1D2R3	MXAN_4903		Putative transporter	Myxococcus xanthus (strain DK 1622)	WP_011554884.1;	CP000113;	ABF92704;
Q1D8K1	MXAN_2805		PBS lyase HEAT-like repeat protein	Myxococcus xanthus (strain DK 1622)	WP_011552872.1;	CP000113;	ABF92736;
Q1DED7	MXAN_0718		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011550846.1;	CP000113;	ABF87541;
Q1CX02	MXAN_6956	dotR	Response regulator DotR	Myxococcus xanthus (strain DK 1622)	WP_011556877.1;	CP000113;	ABF86665;
Q1D0Q1	MXAN_5633		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011555587.1;	CP000113;	ABF88990;
Q1D108	MXAN_5522		Lactonizing lipase	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF85987;
Q1D1G9	MXAN_5354		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF91963;
Q1D2G5	MXAN_5002	iscU	Iron-sulfur cluster assembly scaffold protein IscU	Myxococcus xanthus (strain DK 1622)	WP_002634235.1;	CP000113;	ABF89450;
Q1DDX9	MXAN_0883		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF93150;
Q1D1X6	MXAN_5194		OmpA domain protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF86992;
Q1CVX3	MXAN_7337		Tetratricopeptide repeat protein	Myxococcus xanthus (strain DK 1622)	WP_011557256.1;	CP000113;	ABF87855;
Q1CWD1	MXAN_7179		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011557098.1;	CP000113;	ABF92014;
Q1D2N1	MXAN_4936		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011554914.1;	CP000113;	ABF89949;
Q1CZ02	MXAN_6242		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF89982;
Q1DEN1	MXAN_0624		Conserved domain protein	Myxococcus xanthus (strain DK 1622)	WP_011550755.1;	CP000113;	ABF91245;
Q1CWD2	MXAN_7178		Response regulator	Myxococcus xanthus (strain DK 1622)	WP_011557097.1;	CP000113;	ABF92762;
Q1CZF8	MXAN_6080		Oxidoredutase membrane subunit, NrfD family	Myxococcus xanthus (strain DK 1622)	WP_011556029.1;	CP000113;	ABF92509;
Q1D7V9	MXAN_3056		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011553111.1;	CP000113;	ABF91621;
Q1D8T5	MXAN_2721		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011552788.1;	CP000113;	ABF88036;
Q1D9C1	MXAN_2533		Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase (EC 4.2.-.-)	Myxococcus xanthus (strain DK 1622)	WP_011552603.1;	CP000113;	ABF86817;
Q1D964	MXAN_2590		Thioesterase domain protein	Myxococcus xanthus (strain DK 1622)	WP_011552660.1;	CP000113;	ABF91780;
Q1D9S6	MXAN_2377		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011552452.1;	CP000113;	ABF92905;
Q1DCI6	MXAN_1380		Conserved domain protein	Myxococcus xanthus (strain DK 1622)	WP_011551497.1;	CP000113;	ABF93043;
Q1DD08	MXAN_1205		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF91878;
Q1DA80	MXAN_2222		Endonuclease/exonuclease/phosphatase family protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87492;
Q1DFJ4	MXAN_0299		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011550443.1;	CP000113;	ABF86112;
Q1D9L5	MXAN_2438		Type III secretion apparatus protein, YscI/HrpB family	Myxococcus xanthus (strain DK 1622)	WP_011552513.1;	CP000113;	ABF90633;
Q1CVM4	MXAN_7444		Response regulator/sensory box histidine kinase	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF91844;
Q1CZW0	MXAN_5926		Fumarylacetoacetate hydrolase family protein	Myxococcus xanthus (strain DK 1622)	WP_011555877.1;	CP000113;	ABF91649;
